Champion,Skill,Skill Name,Primary Damage Stat,Base,ATK or DEF Buff,Book,Mastery,Total,Damage Bonus from Books,DamageGrade,Target
Balthus Drauglord,A3,Driven to Slaughter,DEF,11524,1.6,1.1,1.00,20282,10,Strong,Single Target
Jaeger,A2,Freezing Arrow,ATK,11252,1.5,1.2,1.00,20254,20,Strong,Single Target
Skink,A3,Catalyze,ATK,10767,1.5,1.25,1.00,20188,25,Strong,Single Target
Ithos,A3,Extinguish Life,ATK,10747,1.5,1.25,1.00,20151,25,Godlike,AoE Enemy
Arbalester,A2,Lethargy,ATK,12208,1.5,1.1,1.00,20143,10,Strong,Single Target
Jizoh,A3,Rile,DEF,11414,1.6,1.1,1.00,20089,10,Strong,Single Target
Infiltrator,A2,Throwing Knives,ATK,11108,1.5,1.2,1.00,19994,20,Strong,Single Target
Goremask,A3,Tearing Jaws,ATK,10663,1.5,1.25,1.00,19993,25,Strong,Single Target
Marquess,A2,Crush the Weak,DEF,11356,1.6,1.1,1.00,19987,10,Godlike,AoE Enemy
Lightsworn,A2,Brutality,DEF,10403,1.6,1.2,1.00,19974,20,Strong,Single Target
Deathless,A2,Vile Insults,DEF,10387,1.6,1.2,1.00,19943,20,Strong,Single Target
Karato Foxhunter,A3,Suppression Ward,ATK,11077,1.5,1.2,1.00,19939,20,Godlike,AoE Enemy
Gala Longbraids,A1,Brutal Bludgeon,ATK,11547,1.5,1.15,1.00,19919,15,Godlike,Single Target
Warchief,A2,Marauder,DEF,8887,1.6,1.4,1.00,19907,40,Strong,Single Target
Lich,A3,Enervation,DEF,10356,1.6,1.2,1.00,19884,20,Strong,Single Target
Slasher,A2,Chop Apart,ATK,11523,1.5,1.15,1.00,19877,15,Strong,Single Target
Hurler,A2,Firebolt,ATK,10597,1.5,1.25,1.00,19869,25,Strong,Single Target
Samar Gemcursed,A2,Emerald Curse,HP,16556,1,1.2,1.00,19867,20,Strong,Single Target
Ashwalker,A2,Devastator,ATK,11034,1.5,1.2,1.00,19861,20,Strong,Single Target
Slayer,A3,Debilitate,ATK,11504,1.5,1.15,1.00,19844,15,Strong,Single Target
Phranox,A3,Isolate,ATK,11496,1.5,1.15,1.00,19831,15,Strong,Single Target
Ursine Ironhide,A2,Beat Back,DEF,11257,1.6,1.1,1.00,19812,10,Strong,Single Target
Dracomorph,A1,Seeping Pain,ATK,10562,1.5,1.25,1.00,19804,25,Godlike,Single Target
Lifetaker,A2,Leg Bind,ATK,11998,1.5,1.1,1.00,19797,10,Strong,Single Target
Prosecutor,A3,Prosecute,ATK,10992,1.5,1.2,1.00,19786,20,Strong,Single Target
Quaestor,A2,Guiding Example,ATK,10992,1.5,1.2,1.00,19786,20,Strong,Single Target
Canoness,A2,Blinding Assault,DEF,10740,1.6,1.15,1.00,19762,15,Strong,Single Target
Icebound Prospector,A2,Noggin Knocker,ATK,11437,1.5,1.15,1.00,19729,15,Strong,Single Target
Renouncer,A2,Shining Sword,ATK,10517,1.5,1.25,1.00,19719,25,Strong,Single Target
Chopper,A2,Grapple,ATK,10932,1.5,1.2,1.00,19678,20,Strong,Single Target
Harvester,A2,Accursed Scythe,ATK,11398,1.5,1.15,1.00,19662,15,Strong,Single Target
Hero 4900 name,A3,Skill 49003 name ascended,ATK,10917,1.5,1.2,1.00,19651,20,Strong,Single Target
Courtier,A2,Denigrate,ATK,10909,1.5,1.2,1.00,19636,20,Strong,Single Target
Aristocrat,A2,Stinging Rebuke,ATK,10470,1.5,1.25,1.00,19631,25,Strong,Single Target
Wyvernbane,A2,Setback,ATK,11378,1.5,1.15,1.00,19627,15,Strong,Single Target
Sandbow,A2,Veinfire Venom,ATK,10454,1.5,1.25,1.00,19601,25,Strong,Single Target
Conscript,A2,Fusillade,ATK,10889,1.5,1.2,1.00,19600,20,Strong,Single Target
Raider,A3,Dominate,ATK,10889,1.5,1.2,1.00,19600,20,Strong,Single Target
Purgator,A3,Humble the Heathen,ATK,10444,1.5,1.25,1.00,19583,25,Strong,Single Target
Tracker,A2,Haughty Dismissal,ATK,10873,1.5,1.2,1.00,19571,20,Strong,Single Target
Roshcard the Tower,A2,Sanction,ATK,10429,1.5,1.25,1.00,19554,25,Average,Single Target
Nogoryo,A2,Abduct By Night,ATK,10838,1.5,1.2,1.00,19508,20,Average,Single Target
Soulbond Bowyer,A3,Soulbound Shot,ATK,11308,1.5,1.15,1.00,19506,15,Average,Single Target
Knight-Errant,A2,Mordhau,ATK,11807,1.5,1.1,1.00,19482,10,Average,Single Target
Elfguard,A2,Impale,ATK,10387,1.5,1.25,1.00,19476,25,Average,Single Target
Wretch,A3,Gravefire,ATK,10385,1.5,1.25,1.00,19472,25,Average,Single Target
Maiden,A2,Diminish,ATK,10807,1.5,1.2,1.00,19453,20,Average,Single Target
Fylja,A2,Crushing Eternity,ATK,12968,1.5,1,1.00,19452,0,Average,Single Target
Marksman,A3,Thorns,ATK,9975,1.5,1.3,1.00,19451,30,Weak,Random Enemy
Twinclaw Disciple,A3,Tear to Shreds,ATK,11777,1.5,1.1,1.00,19432,10,Average,Single Target
Avenger,A3,Fatal Blow,ATK,10786,1.5,1.2,1.00,19415,20,Average,Single Target
Fireblade,A2,Path of Flame,ATK,11752,1.5,1.1,1.00,19391,10,Average,Single Target
Slitherbrute,A2,Essence Snatch,ATK,10767,1.5,1.2,1.00,19381,20,Average,Single Target
Twinclaw Disciple,A2,Tendon Carve,ATK,10762,1.5,1.2,1.00,19372,20,Average,Single Target
Tunnel Steward,A2,Intensify,ATK,9904,1.5,1.3,1.00,19313,30,Average,Single Target
Zii Ixchi,A2,Crown Breaker,ATK,10725,1.5,1.2,1.00,19305,20,Average,Single Target
Flinger,A3,Burn,ATK,9876,1.5,1.3,1.00,19258,30,Average,Single Target
Slicer,A2,Cut Apart,ATK,10664,1.5,1.2,1.00,19195,20,Average,Single Target
Solaris,A2,Solar Shield,ATK,10660,1.5,1.2,1.00,19188,20,Average,Single Target
Hero 4900 name,A2,Skill 49002 name,ATK,11122,1.5,1.15,1.00,19185,15,Average,Single Target
Mountain King,A3,Regal Force,HP,17425,1,1.1,1.00,19168,10,Average,Single Target
Bulwark,A2,Meteoric Ignition,DEF,9980,1.6,1.2,1.00,19162,20,Average,Single Target
Hyria,A2,Poisonous Lily,ATK,11106,1.5,1.15,1.00,19158,15,Average,Single Target
Cupidus,A2,Flames of Passion,ATK,11608,1.5,1.1,1.00,19153,10,Godlike,AoE Enemy
Berserker,A2,Havoc,ATK,10636,1.5,1.2,1.00,19145,20,Average,Single Target
Ritualist,A2,Wrath of Gods,ATK,10634,1.5,1.2,1.00,19141,20,Average,Single Target
Itinerant,A3,Waste Away,ATK,11088,1.5,1.15,1.00,19127,15,Average,Single Target
Tormentor,A1,Endless Agonies,ATK,10620,1.5,1.2,1.00,19116,20,Godlike,Single Target
Amarantine Skeleton,A2,Tomb Blight,DEF,9538,1.6,1.25,1.00,19076,25,Average,Single Target
Wretch,A2,Lifeleech,ATK,10597,1.5,1.2,1.00,19075,20,Average,Single Target
Rotos the Lost Groom,A2,Vitality Plunder,ATK,9762,1.5,1.3,1.00,19036,30,Average,Single Target
Gravechill Killer,A3,Icy Veins,ATK,9396,1.5,1.35,1.00,19027,35,Average,Single Target
Siegebreaker,A2,Electrocute,ATK,11517,1.5,1.1,1.00,19003,10,Average,Single Target
Jotun,A3,Sear Away,HP,15806,1,1.2,1.00,18967,20,Average,Single Target
Drexthar Bloodtwin,A2,Burning Lash,DEF,10305,1.6,1.15,1.00,18961,15,Godlike,AoE Enemy
Cleopterix,A3,Sky Punishment,ATK,10982,1.5,1.15,1.00,18944,15,Godlike,AoE Enemy
Duelist,A2,Stunning Slice,ATK,9694,1.5,1.3,1.00,18903,30,Average,Single Target
Assassin,A2,Lingering Death,ATK,11446,1.5,1.1,1.00,18886,10,Average,Single Target
Snorting Thug,A2,Ruckus,HP,15732,1,1.2,1.00,18878,20,Weak,Single Target
Lumberer,A2,Flatten,ATK,11435,1.5,1.1,1.00,18868,10,Average,Single Target
Assassin,A3,Draught of Sleep,ATK,10476,1.5,1.2,1.00,18857,20,Average,Single Target
Ox,A2,Shatter Defenses,ATK,12553,1.5,1,1.00,18830,0,Average,Single Target
Maulie Tankard,A1,Roast,DEF,10230,1.6,1.15,1.00,18823,15,Godlike,Single Target
Jurojin,A3,True Smite,HP,15663,1,1.2,1.00,18796,20,Average,Single Target
Maneater,A2,Syphon,ATK,10424,1.5,1.2,1.00,18763,20,Average,Single Target
Hephraak,A1,Hephraak's Grin,ATK,10414,1.5,1.2,1.00,18745,20,Godlike,Single Target
Longbeard,A1,Unstoppable Force,ATK,10410,1.5,1.2,1.00,18738,20,Godlike,Single Target
Frozen Banshee,A2,Cruel Exultation,ATK,9984,1.5,1.25,1.00,18720,25,Average,Single Target
Stag Knight,A1,Spot Quarry,ATK,10393,1.5,1.2,1.00,18707,20,Godlike,Single Target
Riho Bonespear,A2,Pressure Points,ATK,9959,1.5,1.25,1.00,18673,25,Average,Single Target
Malbranche,A3,Demonic Explosives,ATK,12436,1.5,1,1.00,18654,0,Average,Single Target
Marquess,A3,Freeze Solid,DEF,9712,1.6,1.2,1.00,18647,20,Average,Single Target
Hound Spawn,A2,Adamantine Teeth,ATK,10786,1.5,1.15,1.00,18606,15,Average,Single Target
Lordly Legionary,A1,Press the Fight,ATK,10786,1.5,1.15,1.00,18606,15,Godlike,Single Target
Ithos,A2,Outburst,ATK,9893,1.5,1.25,1.00,18549,25,Godlike,AoE Enemy
Errol,A1,Blazing Sword,ATK,9880,1.5,1.25,1.00,18525,25,Godlike,Single Target
Thrasher,A2,Thrash,ATK,11224,1.5,1.1,1.00,18520,10,Average,Single Target
Ragash,A2,Fur Typhoon,DEF,10520,1.6,1.1,1.00,18515,10,Godlike,AoE Enemy
Hellfreak,A2,Mind Games,ATK,10282,1.5,1.2,1.00,18508,20,Average,Single Target
Treefeller,A2,Chop Down,ATK,10718,1.5,1.15,1.00,18489,15,Average,Single Target
Flailer,A3,Fury Swipe,DEF,9589,1.6,1.2,1.00,18411,20,Average,Single Target
Chevalier,A2,Stern Rebuke,DEF,11499,1.6,1,1.00,18398,0,Average,Single Target
Battle Sister,A2,Condemn,ATK,10664,1.5,1.15,1.00,18395,15,Average,Single Target
Jintoro,A2,Blood Freeze,ATK,9806,1.5,1.25,1.00,18386,25,Strong,Single Target
Judge,A1,Eviscerate,ATK,9800,1.5,1.25,1.00,18375,25,Godlike,Single Target
Adjudicator,A2,Slowing Sanction,ATK,11120,1.5,1.1,1.00,18348,10,Average,Single Target
Huntress,A2,Incinerate,ATK,10180,1.5,1.2,1.00,18324,20,Average,Single Target
Inithwe Bloodtwin,A1,Vitality Censure,ATK,9393,1.5,1.3,1.00,18316,30,Godlike,Single Target
Ma'Shalled,A1,Bloodsucker,ATK,8700,1.5,1.4,1.00,18270,40,Godlike,AoE Enemy
Ma'Shalled,A1,Bloodsucker,ATK,8700,1.5,1.4,1.00,18270,40,Godlike,Single Target
Crossbowman,A3,Blunted Arrow,ATK,9724,1.5,1.25,1.00,18233,25,Average,Single Target
Robar,A2,Wild Swing,ATK,10568,1.5,1.15,1.00,18230,15,Godlike,AoE Enemy
Abbess,A2,Mass Impalement,ATK,12148,1.5,1,1.00,18222,0,Godlike,AoE Enemy
Interceptor,A2,Somnolent Toxin,DEF,9474,1.6,1.2,1.00,18190,20,Average,Single Target
Rae,A3,Banish,ATK,11013,1.5,1.1,1.00,18171,10,Godlike,AoE Enemy
Bystophus,A2,Shadow Strike,ATK,8640,1.5,1.4,1.00,18144,40,Godlike,AoE Enemy
Judicator,A2,Undermine,ATK,10994,1.5,1.1,1.00,18140,10,Average,Single Target
Ithos,A1,Gouge,ATK,9282,1.5,1.3,1.00,18100,30,Godlike,Single Target
Elenaril,A2,Smolder,ATK,10051,1.5,1.2,1.00,18092,20,Godlike,AoE Enemy
Gravechill Killer,A2,Blood Chill,ATK,12055,1.5,1,1.00,18083,0,Average,Single Target
Ragemonger,A3,Scorch Shot,ATK,10958,1.5,1.1,1.00,18081,10,Average,Single Target
Jintoro,A3,Oni's Rage (1 Hit),ATK,9637,1.5,1.25,1.00,18069,25,Godlike,Single Target
Conquerer,A2,Cut Down To Size,ATK,10945,1.5,1.1,1.00,18059,10,Average,Single Target
Ruffstone,A2,Tender Meat,ATK,9245,1.5,1.3,1.00,18028,30,Average,Single Target
Roric Wyrmbane,A2,Dragon Rage,ATK,10014,1.5,1.2,1.00,18025,20,Average,Single Target
Tuhanarak,A2,Radiant Suffering,DEF,10240,1.6,1.1,1.00,18022,10,Average,Single Target
Excruciator,A1,Flicker Strike,ATK,10008,1.5,1.2,1.00,18014,20,Godlike,Single Target
Stitched Beast,A2,Virulent Spittle,ATK,10007,1.5,1.2,1.00,18013,20,Average,Single Target
Dirandil,A2,Dispatch Them,ATK,9995,1.5,1.2,1.00,17991,20,Godlike,AoE Enemy
Staltus Dragonbane,A2,Drakehunter Tactics,DEF,9369,1.6,1.2,1.00,17988,20,Godlike,AoE Enemy
Bushi,A1,Rising Storm,ATK,9987,1.5,1.2,1.00,17977,20,Godlike,Single Target
Vlad the Nightborn,A2,Exsanguinate,ATK,10413,1.5,1.15,1.00,17962,15,Godlike,AoE Enemy
War Mother,A3,Mother's Touch,ATK,10379,1.5,1.15,1.00,17904,15,Godlike,AoE Enemy
Retainer,A3,Hypnotize,DEF,8594,1.6,1.3,1.00,17876,30,Average,Single Target
Rocktooth,A3,Rabble,ATK,9497,1.5,1.25,1.00,17807,25,Average,Single Target
Zavia,A3,Deadly Catalyst,ATK,9891,1.5,1.2,1.00,17804,20,Godlike,AoE Enemy
Husk,A3,Retaliate,ATK,9880,1.5,1.2,1.00,17784,20,Average,Single Target
Nogdar the Headhunter,A1,Brutal Verdict,ATK,8460,1.5,1.4,1.00,17766,40,Godlike,Single Target
Skink,A2,Withering Poison,ATK,10767,1.5,1.1,1.00,17766,10,Average,Single Target
Fencer,A2,Pommel Strike,ATK,10295,1.5,1.15,1.00,17759,15,Average,Single Target
Ginro the Stork,A2,Befuddle,DEF,9643,1.6,1.15,1.00,17743,15,Average,Single Target
Astralon,A3,Light of Sanctity,ATK,9831,1.5,1.2,1.00,17696,20,Godlike,AoE Enemy
Abbess,A3,Divine Wrath,ATK,10719,1.5,1.1,1.00,17686,10,Godlike,AoE Enemy
Karato Foxhunter,A1,Three Visitations,ATK,10719,1.5,1.1,1.00,17686,10,Godlike,Single Target
War Mother,A2,Special Brew,ATK,9802,1.5,1.2,1.00,17644,20,Godlike,AoE Enemy
Versulf the Grim,A2,Reign of Sorrow,HP,16024,1,1.1,1.00,17626,10,Godlike,AoE Enemy
Saito,A3,Army Breaker,ATK,10167,1.5,1.15,1.00,17538,15,Godlike,AoE Enemy
Juliana,A1,Battledance,ATK,10147,1.5,1.15,1.00,17504,15,Godlike,Single Target
Azure,A3,Coup de Grace,ATK,8960,1.5,1.3,1.00,17472,30,Average,Single Target
Hatchet Slinger,A1,Axe Frenzy,ATK,9701,1.5,1.2,1.00,17462,20,Godlike,Single Target
Aleksandr the Sharpshooter,A2,Spraydown,ATK,10122,1.5,1.15,1.00,17460,15,Godlike,AoE Enemy
Sanctum Protector,A3,False Bravado,DEF,10905,1.6,1,1.00,17448,0,Average,Single Target
Warmaiden,A2,Opportunity Strike,ATK,9686,1.5,1.2,1.00,17435,20,Average,Single Target
Yakarl the Scourge,A3,Glaciate,ATK,9685,1.5,1.2,1.00,17433,20,Godlike,AoE Enemy
Gurgoh the Augur,A1,Icebreaker,ATK,10106,1.5,1.15,1.00,17433,15,Godlike,Single Target
Deathchanter,A2,Bully,ATK,8579,1.5,1.35,1.00,17372,35,Average,Single Target
Narma the Returned,A3,Toxin Trance,ATK,10066,1.5,1.15,1.00,17364,15,Average,Single Target
Honor Guard,A3,Astral Chains,DEF,9041,1.6,1.2,1.00,17359,20,Average,Single Target
Cleopterix,A2,Feather Barrage,ATK,10515,1.5,1.1,1.00,17350,10,Godlike,AoE Enemy
Bloodbraid,A2,Tireless Assault,ATK,9252,1.5,1.25,1.00,17348,25,Average,Single Target
Skirmisher,A2,Hexed Arrow,ATK,9248,1.5,1.25,1.00,17340,25,Average,Single Target
Slitherbrute,A3,Punish Hubris,ATK,11550,1.5,1,1.00,17325,0,Average,Single Target
Roric Wyrmbane,A1,Wyrmslayer Hammer,ATK,10014,1.5,1.15,1.00,17274,15,Godlike,Single Target
Pitiless One,A1,Split Arrow,ATK,9569,1.5,1.2,1.00,17224,20,Godlike,Single Target
Vagabond,A2,Ominous Visit,ATK,10386,1.5,1.1,1.00,17137,10,Average,Single Target
Staltus Dragonbane,A3,Dragon Heart,DEF,8923,1.6,1.2,1.00,17132,20,Godlike,AoE Enemy
Honor Guard,A2,Fate Transfer,DEF,9307,1.6,1.15,1.00,17125,15,Average,Single Target
Magnarr,A2,Percussive Pound,HP,13172,1,1.3,1.00,17124,30,Godlike,AoE Enemy
Grandmaster,A3,Demoralizing Display,ATK,9923,1.5,1.15,1.00,17117,15,Average,Single Target
Bloodbraid,A3,Lifecurse,ATK,9118,1.5,1.25,1.00,17096,25,Average,Single Target
Big 'Un,A3,Molten Slag,ATK,9109,1.5,1.25,1.00,17079,25,Godlike,AoE Enemy
Ignatius,A3,Turn to Ash,DEF,10162,1.6,1.05,1.00,17072,5,Godlike,AoE Enemy
Crypt Witch,A1,Fetid Steel,ATK,9481,1.5,1.2,1.00,17066,20,Godlike,Single Target
Brute,A2,Rip and Tear,ATK,9467,1.5,1.2,1.00,17041,20,Average,Single Target
Hellfang,A2,Hunter's Mark,ATK,9463,1.5,1.2,1.00,17033,20,Average,Single Target
Panthera,A2,Devitalize,ATK,9874,1.5,1.15,1.00,17033,15,Average,Single Target
Jarang,A1,Armor Piercer,ATK,9080,1.5,1.25,1.00,17025,25,Strong,Single Target
Veteran,A2,Head Hunter,DEF,7599,1.6,1.4,1.00,17022,40,Average,Single Target
Gomlok Skyhide,A2,Fateful Trickster,ATK,10282,1.5,1.1,1.00,16965,10,Average,Single Target
Lua,A2,Hail of Arrows,ATK,9820,1.5,1.15,1.00,16940,15,Godlike,AoE Enemy
Ghoulish Ranger,A1,Numbing Arrows,ATK,9816,1.5,1.15,1.00,16933,15,Godlike,Single Target
Amarantine Skeleton,A3,Rusted Targe,DEF,9197,1.6,1.15,1.00,16922,15,Average,Single Target
Ragash,A1,Tiger's Greatclaws,DEF,8808,1.6,1.2,1.00,16911,20,Godlike,Single Target
Nogoryo,A3,Faster Than The Eye,ATK,9379,1.5,1.2,1.00,16882,20,Godlike,AoE Enemy
Trugorr,A2,Maniacal Chopping,ATK,10228,1.5,1.1,1.00,16876,10,Average,Single Target
Rhazin Scarhide,A1,Bone Sword,DEF,8417,1.6,1.25,1.00,16834,25,Godlike,Single Target
Bombardier,A2,Skirmish Tactics,ATK,9352,1.5,1.2,1.00,16834,20,Average,Single Target
Andryssia,A2,Mind Prison,DEF,10502,1.6,1,1.00,16803,0,Average,Single Target
Hollow,A2,Creeping Dark,ATK,9327,1.5,1.2,1.00,16789,20,Average,Single Target
Penitent,A2,Counter,ATK,9724,1.5,1.15,1.00,16774,15,Average,Single Target
Drake,A1,Death from Above,ATK,8937,1.5,1.25,1.00,16757,25,Godlike,Single Target
Pounder,A2,Spreading Ice,DEF,10386,1.6,1,1.00,16618,0,Average,Single Target
Fu-Shan,A2,Frightful Claws,ATK,8862,1.5,1.25,1.00,16616,25,Godlike,AoE Enemy
Fu-Shan,A1,Howl,ATK,8862,1.5,1.25,1.00,16616,25,Godlike,Single Target
Genzin,A1,Flowing Cuts,ATK,9231,1.5,1.2,1.00,16616,20,Godlike,Single Target
Gaius the Gleeful,A2,Jester's Remedy,ATK,9167,1.5,1.2,1.00,16501,20,Godlike,AoE Enemy
Danag Skullreap,A2,Bane of Elves,ATK,9559,1.5,1.15,1.00,16489,15,Godlike,AoE Enemy
Scabrius,A2,Gnawing Horde,ATK,9545,1.5,1.15,1.00,16465,15,Godlike,AoE Enemy
Hegemon,A2,Crippling Cold,ATK,8421,1.5,1.3,1.00,16421,30,Godlike,AoE Enemy
Souldrinker,A1,Razing Hand,ATK,9109,1.5,1.2,1.00,16396,20,Godlike,Single Target
Maranix,A2,Excruciate,ATK,9104,1.5,1.2,1.00,16387,20,Godlike,AoE Enemy
hero 3750 name,A2,Skill 37502 name,ATK,9101,1.5,1.2,1.00,16382,20,Average,Single Target
Queen Eva,A3,Energy Drain,ATK,8717,1.5,1.25,1.00,16344,25,Godlike,AoE Enemy
Bloodgorged,A1,Break Defense,ATK,9881,1.5,1.1,1.00,16304,10,Godlike,Single Target
Belanor,A1,Swordleader,ATK,8357,1.5,1.3,1.00,16296,30,Godlike,Single Target
Acrizia,A2,Battlefield Domination,ATK,9044,1.5,1.2,1.00,16279,20,Godlike,AoE Enemy
Spikehead,A3,Rip,ATK,8680,1.5,1.25,1.00,16275,25,Average,Single Target
Staltus Dragonbane,A1,Axe of Glory,DEF,8476,1.6,1.2,1.00,16274,20,Godlike,Single Target
Trunda Giltmallet,A1,Golden Mallet,ATK,9038,1.5,1.2,1.00,16268,20,Godlike,Single Target
Mortu-Macaab,A1,Stigmata,ATK,8666,1.5,1.25,1.00,16249,25,Godlike,Single Target
Quaestor,A1,Undaunted Assault,ATK,9025,1.5,1.2,1.00,16245,20,Godlike,Single Target
Michinaki,A2,Dire Whorl,DEF,8436,1.6,1.2,1.00,16197,20,Strong,AoE Enemy
Aina,A1,Ferocity,ATK,9384,1.5,1.15,1.00,16187,15,Godlike,Single Target
Big 'Un,A2,Forward Charge,ATK,8630,1.5,1.25,1.00,16181,25,Strong,AoE Enemy
Bloodgorged,A2,Raging Beast,ATK,8983,1.5,1.2,1.00,16169,20,Strong,AoE Enemy
Urticata,A2,Poison Agonist,ATK,10777,1.5,1,1.00,16166,0,Average,Single Target
Vanguard,A2,Inescapable Wrath,ATK,8974,1.5,1.2,1.00,16153,20,Average,Single Target
Militia,A2,Piercing Bolt,ATK,10219,1.5,1.05,1.00,16095,5,Average,Single Target
Skullcrown,A2,Corrupting Touch,ATK,9735,1.5,1.1,1.00,16063,10,Strong,AoE Enemy
Nethril,A3,Bat Swarm,ATK,8923,1.5,1.2,1.00,16061,20,Strong,AoE Enemy
Nethril,A2,Ghastly Horrors,ATK,10707,1.5,1,1.00,16061,0,Strong,AoE Enemy
Skraank,A3,Unleash Havoc,ATK,8915,1.5,1.2,1.00,16047,20,Strong,AoE Enemy
Bystophus,A1,Horror,ATK,8910,1.5,1.2,1.00,16038,20,Godlike,Single Target
Beast Wrestler,A1,Weighty Cleaver,ATK,8907,1.5,1.2,1.00,16033,20,Godlike,Single Target
Nogdar the Headhunter,A2,Gore Feast,ATK,8204,1.5,1.3,1.00,15998,30,Godlike,AoE Enemy
Yannica,A3,Elven Judgment,ATK,8194,1.5,1.3,1.00,15978,30,Strong,AoE Enemy
Sinesha,A2,Vaporize,ATK,9252,1.5,1.15,1.00,15960,15,Average,Single Target
Vlad the Nightborn,A1,Thirsting Blade,ATK,8862,1.5,1.2,1.00,15952,20,Godlike,Single Target
Daywalker,A1,Grave's Grasp,ATK,8850,1.5,1.2,1.00,15930,20,Godlike,Single Target
Cromax Moonblood,A2,Moonlight Bonds,DEF,9049,1.6,1.1,1.00,15926,10,Average,Single Target
Zavia,A2,Poison Rain,ATK,9649,1.5,1.1,1.00,15921,10,Strong,AoE Enemy
Pitiless One,A2,Projectile Burst,ATK,8481,1.5,1.25,1.00,15902,25,Strong,AoE Enemy
Narma the Returned,A2,Weirding Dance,ATK,9622,1.5,1.1,1.00,15876,10,Average,Single Target
Minaya,A2,Mending Ways,ATK,8141,1.5,1.3,1.00,15875,30,Average,Single Target
Lady Etessa,A1,Blessed Missiles,ATK,8816,1.5,1.2,1.00,15869,20,Godlike,Single Target
Grappler,A2,Soul Sizzle,ATK,9613,1.5,1.1,1.00,15861,10,Average,Single Target
Grandmaster,A2,Steel Crusher,ATK,10057,1.5,1.05,1.00,15840,5,Average,Single Target
Mountain King,A1,Thunder Cleave,HP,13187,1,1.2,1.00,15824,20,Godlike,Single Target
Tigersoul,A2,Wearying Tactics,ATK,8103,1.5,1.3,1.00,15801,30,Average,Single Target
Grohak the Bloodied,A2,Unbound Anger,ATK,8421,1.5,1.25,1.00,15789,25,Strong,AoE Enemy
Bloodfeather,A1,Hunt Down,ATK,8772,1.5,1.2,1.00,15790,20,Godlike,Single Target
Theresc,A3,Hate's Flowers,ATK,9132,1.5,1.15,1.00,15753,15,Strong,AoE Enemy
Hurndig,A2,Arcane Tempest,ATK,9542,1.5,1.1,1.00,15744,10,Strong,AoE Enemy
Kreela Witch-Arm,A2,Blinding Glow,ATK,9538,1.5,1.1,1.00,15738,10,Average,Single Target
Crohnam,A3,Blazing Zephyr,ATK,9528,1.5,1.1,1.00,15721,10,Strong,AoE Enemy
Ninja,A3,Cyan Slash,ATK,9110,1.5,1.15,1.00,15715,15,Average,AoE Enemy
Ramantu Drakesblood,A3,Blood Wings,ATK,10473,1.5,1,1.00,15710,0,Strong,AoE Enemy
Robar,A1,Stunning Strength,ATK,8356,1.5,1.25,1.00,15668,25,Godlike,Single Target
Basileus Roanas,A3,Majesty,ATK,8702,1.5,1.2,1.00,15664,20,Strong,AoE Enemy
Ignatius,A2,Battle Shout,DEF,8892,1.6,1.1,1.00,15650,10,Strong,AoE Enemy
Tatura Rimehide,A3,Otherworld Breach,DEF,8504,1.6,1.15,1.00,15647,15,Strong,AoE Enemy
Purgator,A2,Great Purge,ATK,8689,1.5,1.2,1.00,15640,20,Strong,AoE Enemy
Gaius the Gleeful,A1,Chuckling Sickles,ATK,8684,1.5,1.2,1.00,15631,20,Godlike,Single Target
Roxam,A3,Flicker Step,ATK,9468,1.5,1.1,1.00,15622,10,Godlike,AoE Enemy
Deathchanter,A3,Bleed Out,ATK,8331,1.5,1.25,1.00,15621,25,Average,Single Target
Little Miss Annie,A1,Pretty Nails,ATK,9467,1.5,1.1,1.00,15621,10,Godlike,Single Target
Hurndig,A3,Stasis Strike,ATK,8675,1.5,1.2,1.00,15615,20,Godlike,AoE Enemy
Hurndig,A1,Lethal Lust,ATK,8675,1.5,1.2,1.00,15615,20,Godlike,Single Target
Foli,A3,Sealed Fate,ATK,9044,1.5,1.15,1.00,15601,15,Godlike,AoE Enemy
Teumesia,A2,Cunning Chaos,ATK,9044,1.5,1.15,1.00,15601,15,Strong,AoE Enemy
Foli,A3,Sealed Fate,ATK,9044,1.5,1.15,1.00,15601,15,Godlike,Single Target
Varl the Destroyer,A2,Lay Waste,ATK,9044,1.5,1.15,1.00,15601,15,Strong,AoE Enemy
Justiciar,A2,Contemptuous Blow,ATK,9447,1.5,1.1,1.00,15588,10,Average,Single Target
Hellgazer,A3,Malign Lightning,ATK,8655,1.5,1.2,1.00,15579,20,Strong,AoE Enemy
Yannica,A1,Even the Odds,ATK,8649,1.5,1.2,1.00,15568,20,Godlike,Single Target
Ruel the Huntmaster,A1,Vile Arrows,ATK,9024,1.5,1.15,1.00,15566,15,Godlike,Single Target
Lyssandra,A2,Exhaustion,ATK,8631,1.5,1.2,1.00,15536,20,Average,Single Target
Baron,A1,Trample,ATK,8630,1.5,1.2,1.00,15534,20,Godlike,Single Target
Valla,A2,Crush The Wall,DEF,8089,1.6,1.2,1.00,15531,20,Strong,AoE Enemy
Genzin,A2,Steel Parting,ATK,8994,1.5,1.15,1.00,15515,15,Strong,AoE Enemy
Inithwe Bloodtwin,A3,Tormenting Whispers,ATK,9393,1.5,1.1,1.00,15498,10,Strong,AoE Enemy
Chaagur,A2,Venom Storm,ATK,8608,1.5,1.2,1.00,15494,20,Strong,AoE Enemy
